pca_components,alpha,umap_n_components,umap_n_neighbors,min_cluster_size,min_samples,cluster_selection_method,n_clusters,n_outliers,outlier_pct,silhouette_global,min_cluster_silhouette,n_bad_clusters,n_weak_clusters,largest_cluster_pct,davies_bouldin,score,meets_all
50,0.4,25,15,60,20,eom,13,992,28.141843971631204,0.39501091837882996,0.14147626,0,1,21.27659574468085,0.7178537873676331,-1162.836879432624,False
50,0.5,20,10,50,20,eom,15,996,28.25531914893617,0.40425750613212585,0.16522422,0,2,14.26950354609929,0.6831550951444169,-1165.1063829787233,False
60,0.5,25,10,50,20,eom,16,996,28.25531914893617,0.42618292570114136,0.23426877,0,0,14.099290780141843,0.6843772617147587,-1165.1063829787233,False
50,0.3,20,15,50,20,eom,13,997,28.283687943262407,0.3277474045753479,0.052432407,0,3,16.907801418439718,0.8292866181337405,-1165.6737588652481,False
70,0.3,30,10,60,30,eom,11,1000,28.368794326241137,0.34995102882385254,0.067264356,0,1,19.43262411347518,0.8029176820622719,-1167.3758865248228,False
60,0.3,30,15,50,30,eom,9,1001,28.397163120567377,0.2753710448741913,0.10721767,0,3,19.858156028368796,0.8516201226786453,-1167.9432624113476,False
50,0.5,30,10,60,20,eom,12,1002,28.425531914893615,0.4246348738670349,0.21897767,0,0,13.957446808510637,0.765935041405895,-1168.5106382978722,False
50,0.4,20,15,60,20,eom,13,1002,28.425531914893615,0.31612855195999146,0.07104942,0,2,18.553191489361705,0.7735843020919329,-1168.5106382978722,False
60,0.4,20,10,60,30,eom,9,1005,28.510638297872344,0.3138516843318939,0.09728975,0,2,16.9645390070922,0.8551081824052414,-1170.212765957447,False
60,0.6,20,20,60,30,eom,6,1005,28.510638297872344,0.40699365735054016,0.2801093,0,0,33.87234042553192,0.7415894313767856,-1170.212765957447,False
60,0.3,30,15,60,20,eom,11,1010,28.652482269503547,0.2940203845500946,0.09955881,0,3,16.170212765957448,0.7956010183160565,-1173.049645390071,False
60,0.3,25,15,60,20,eom,12,1010,28.652482269503547,0.38209325075149536,0.06506791,0,1,19.29078014184397,0.7387679334614891,-1173.049645390071,False
60,0.7,20,15,60,20,eom,14,1011,28.680851063829788,0.46563783288002014,0.30851185,0,0,13.957446808510637,0.8454062104937263,-1173.6170212765958,False
60,0.3,25,10,50,30,eom,11,1012,28.709219858156025,0.3261393904685974,0.06740752,0,2,18.29787234042553,0.8310958195591123,-1174.1843971631206,False
70,0.4,30,15,60,20,eom,11,1013,28.73758865248227,0.31118980050086975,0.07732716,0,1,16.340425531914892,0.828271321472101,-1174.7517730496454,False
60,0.3,25,10,50,20,eom,16,1015,28.794326241134755,0.35185518860816956,0.030767636,0,3,18.29787234042553,0.8458811990768257,-1175.886524822695,False
60,0.7,20,10,50,20,eom,13,1015,28.794326241134755,0.4385719895362854,0.2582671,0,0,22.18439716312057,0.7454420171316946,-1175.886524822695,False
60,0.6,30,10,60,50,eom,5,1003,28.45390070921986,0.43073442578315735,0.32865444,0,0,40.822695035460995,0.6047194929338116,-1177.3049645390072,False
70,0.4,20,10,50,30,eom,9,1020,28.936170212765955,0.2855687141418457,0.057335306,0,3,16.567375886524825,0.8721299503361516,-1178.723404255319,False
70,0.6,20,15,60,30,eom,6,1021,28.9645390070922,0.41186729073524475,0.2992388,0,0,35.177304964539005,0.7272731347153781,-1179.290780141844,False
70,0.3,30,15,50,20,eom,12,1021,28.9645390070922,0.36961692571640015,0.094138466,0,1,16.595744680851062,0.8098541067147615,-1179.290780141844,False
60,0.3,25,10,60,20,eom,13,1023,29.021276595744684,0.3930054306983948,0.08230428,0,2,19.829787234042552,0.7974915267050228,-1180.4255319148938,False
50,0.4,20,10,60,40,eom,7,1030,29.219858156028366,0.38722747564315796,0.1384035,0,1,19.375886524822693,0.8816988427160103,-1184.3971631205673,False
50,0.3,30,10,50,30,eom,11,1031,29.24822695035461,0.3227364420890808,0.08002706,0,2,18.921985815602838,0.9062130466593075,-1184.9645390070923,False
